,GSM,GSE,Input,Output
15361,,GSE143113, thyroid gland female adult (51 year) EnTEX: Thyroid = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K36me3 - Genome assembly: GRCh38,hg19 - Biosample term name: thyroid gland - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
493,GSM935600,,"lab: USC; lab description: Farnham - University of Southern California; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: K562; cell organism: human; cell description: leukemia, ""The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises."" - ATCC; cell karyotype: cancer; cell lineage: mesoderm; cell sex: F; treatment: None; treatment description: No special treatment or protocol applies; antibody: E2F4; antibody antibodydescription: rabbit polyclonal. Antibody Target: E2F4; antibody targetdescription: mapping at the C-terminus of E2F4 of human origin; antibody vendorname: Santa Cruz Biotech; antibody vendorid: sc-866; control: UCDavis; control description: Input library was prepared at UC Davis.; control: UCDavis; control description: Input library was prepared at UC Davis.; controlid: wgEncodeEH000672; labversion: Fragmented using Bioruptor, precipitated with StaphA (replicate 1) or protein A agarose beads (replicate 2), PeakSeq 1.0 (fdr 0.001) Illumina 2.0, low confidence sequences excluded; replicate: 1 E2F4 ChIP-seq on human K562 K562 leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: E2F4 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: transcription factor $"
6394,GSM935545,,"lab: Stanford; lab description: Snyder - Stanford University; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: HepG2; cell organism: human; cell description: hepatocellular carcinoma; cell karyotype: cancer; cell lineage: endoderm; cell sex: M; treatment: None; treatment description: No special treatment or protocol applies; antibody: p300_(SC-584); antibody antibodydescription: Rabbit polyclonal IgG, epitope mapping at the N-terminus of p300 of human origin. Antibody Target: P300; antibody targetdescription: Encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. Functions as histone acetyltransferase and regulates transcription via chromatin remodeling. Acetylates all four core histones in nucleosomes. Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein; antibody vendorname: Santa Cruz Biotech; antibody vendorid: sc-584; control: IgG-rab; control description: Input signal from Normal Rabbit IgG ChIP-seq.; control: IgG-rab; control description: Input signal from Normal Rabbit IgG ChIP-seq.; controlid: wgEncodeEH001791; replicate: 1 EP300 ChIP-seq on human HepG2 HepG2 hepatocellular carcinoma = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: EP300 - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: transcription factor $"
16162,,," parathyroid adenoma male adult (62 years) Benign tumor of the parathyroid gland, Primary tissue taken during surgery = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: parathyroid adenoma - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 62 - Age units: year - Sex: male - Ethnicity: None - Health status: parathyroid adenoma - Classification: tissue - Investigated as: histone,broad histone mark $"
2062,GSM945318,,lab: UW; lab description: Stamatoyannopoulous - University of Washington; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: WERI-Rb-1; cell organism: human; cell description: retinoblastoma (PMID: 844036); cell karyotype: cancer; cell lineage: ectoderm; cell sex: F; antibody: Input; antibody description: Control signal which may be subtracted from experimental raw signal before peaks are called.; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000475; labexpid: DS11888; labversion: Bowtie 0.12.5; replicate: 1 Control ChIP-seq on human WERI-Rb-1 WERI-Rb-1 retinoblastoma (PMID: 844036) = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: WERI-Rb-1 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 1 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: retinoblastoma - Classification: cell line - Investigated as: None $"
1743,,GSE101250, neuroepithelial stem cell genetically modified using stable transfection originated from H9 Neuroepithelial cells were collected at day 12 of differentiation (see protocol) = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me3 - Genome assembly: GRCh38,hg19 - Biosample term name: neuroepithelial stem cell - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: 5 - Age units: day - Sex: female - Ethnicity: None - Health status: healthy - Classification: in vitro differentiated cells - Investigated as: histone,narrow histone mark $"
7651,,GSE82808,"miRNA-seq on embryonic 14.5 day mouse intestine C57BL/6 intestine embryo (14.5 days) single intestine from pup 1 pregnant 2 collected 7/17/2014,single intestine from pup 1 pregnant 2 collected 7/15/2014 = ",Assay name: microRNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: intestine - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: 14.5 - Age units: day - Sex: mixed - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
1573,,GSE82724,"Whole genome bisulfite-seq on embryonic 14.5 day mouse facial prominence C57BL/6 embryonic facial prominence embryo (14.5 days) Craniofacial prominence from 24 embryonic 14.5 day mice,Craniofacial prominence from 34 embryonic 14.5 day mice = ",Assay name: whole-genome shotgun bisulfite sequencing - Assay type: DNA methylation - Target of assay: None - Genome assembly: mm10 - Biosample term name: embryonic facial prominence - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: 14.5 - Age units: day - Sex: mixed - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
4144,GSM935304,,lab: Stanford; lab description: Snyder - Stanford University; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: HepG2; cell organism: human; cell description: hepatocellular carcinoma; cell karyotype: cancer; cell lineage: endoderm; cell sex: M; treatment: None; treatment description: No special treatment or protocol applies; antibody: RFX5_(200-401-194); antibody antibodydescription: Rabbit polyclonal against RFX5 peptide corresponding to a region at amino acids 320 to 494 of the human protein conjugated to Keyhole Limpet Hemocyanin. Antibody Target: RFX5; antibody targetdescription: Activates transcription from class II MHC promoters. Recognizes X-boxes. Mediates cooperative binding betweenRFX and NF-Y. RFX binds the X1 box of MHC-II promoters; antibody vendorname: Rockland Immunochemicals; antibody vendorid: 200-401-194; control: IgG-rab; control description: Input signal from Normal Rabbit IgG ChIP-seq.; control: IgG-rab; control description: Input signal from Normal Rabbit IgG ChIP-seq.; controlid: wgEncodeEH001791; replicate: 1 RFX5 ChIP-seq on human HepG2 HepG2 hepatocellular carcinoma = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: RFX5 - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: transcription factor $"
2010,,GSE93501,RNA-seq of mouse adrenal gland tissue. The second technical replicate was performed in May 2015 and was not part of the original Lin et al. 2014 publication (PMID:25413365). C57BL/6 adrenal gland female adult (10 weeks) = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: adrenal gland - Project: ENCODE - Organism: Mus musculus - Life stage: adult - Age: 10 - Age units: week - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
3022,,,"Ribo depletion RNA-seq on chromatin fraction RNA which is part of BMDM cell pre-treated with 100 ng/ml Lipid A 12 hours, washed out for 12 hours, and stimulated with 100 ng/ml Lipid A for 90 minute. C57BL/6 bone marrow-derived macrophage chromatin fraction = ",Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: bone marrow-derived macrophage - Project: GGR - Organism: Mus musculus - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: primary cell - Investigated as: None $
11429,,GSE91599,Input ChIP-seq on eGFP-ZEB2 tagged human HEK293 cells. HEK293 genetically modified using site-specific recombination originated from HEK293 HEK293 cell line stably expressing N-terminal tagged eGFP-ZEB2 under the control of a CMV promoter. = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: HEK293 - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: unknown - Classification: cell line - Investigated as: None $"
13974,GSM849304,,"lab: UW; lab description: Stamatoyannopoulous - University of Washington; datatype: ChipSeq; datatype description: ChIP-seq; cell: GM12871; cell organism: human; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.; cell lineage: mesoderm; cell sex: M; antibody: CTCF; antibody antibodydescription: rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: GM12871/None/Input/std; labexpid: DS10999; labversion: Bowtie 0.12.7; replicate: 1; replicate description: tier 1 CTCF ChIP-seq on human GM12871 GM12871 B-lymphoblastoid cell line, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: GM12871 - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: male - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: transcription factor $"
4973,,,"Input control for ChIP-seq on transgenic flies expressing CG17801-eGFP fusion proteins. attP40 ovary female adult genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG17801 = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6 - Biosample term name: ovary - Project: modERN - Organism: Drosophila melanogaster - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
10897,,,RNA-seq on ribo-depleted total RNA from ML-DmBG1-c1 ML-DmBG1-c1 = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: dm3 - Biosample term name: ML-DmBG1-c1 - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: third instar larva - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $
1552,,,RNA-seq on ribo-depleted total RNA from ML-DmD20-c5 ML-DmD20-c5 = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: dm3 - Biosample term name: ML-DmD20-c5 - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: third instar larva - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $
12685,GSM772837,,"sample alias: 238; sample common name: Duodenum Smooth Muscle; collection_method: Surgery; donor_health_status: NL smooth muscle, duodenum rmvd as part of pancr.,VA; molecule: genomic DNA; disease: NL smooth muscle, duodenum rmvd as part of pancr.,VA; tissue_type: Smooth Muscle; donor_ethnicity: Caucasian; donor_sex: Male; biomaterial_type: Primary Tissue; tissue_depot: Duodenum; donor_id: 160; biomaterial_provider: MGH; donor_age: 59.0 Years; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K4me1; chip_protocol_chromatin_amount: 0.5 to 3 million cells; extraction_protocol: cell/nuclei lysis; chip_protocol_antibody_amount: ~1 ug; chip_protocol_bead_amount: 10 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: ab8895; chip_antibody_provider: Abcam; chip_antibody_lot: 659352; experiment_type: Histone H3K4me1; extraction_protocol_type_of_sonicator: Branson  muscle layer of duodenum male adult (59 years) Primary duodenum smooth muscle tissue obtained during surgery by MGH Pathology Department. The donor was a 59 year old male Caucasian whose duodenum was removed as part of pancreatitis vasculitis. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: muscle layer of duodenum - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 59 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
13202,GSM1101690,,"Design description: RNA-Seq (Total RNA) Fetal Muscle, Back; Library name: lib-RNA.RS18238; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.15672; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.7285; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   muscle of back female embryo (98 days) Back muscle tissue from a healthy day 98 female fetus from Ian Glass of University of Washington, Congenital Defects Lab. = ","Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: muscle of back - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 98 - Age units: day - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
2484,GSM1003545,,ChIP-seq on human K562 SUZ12 K562 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: SUZ12 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: chromatin remodeler $"
5905,,GSE106024,eGFP-ZNF645 ChIP-seq on human HEK293 cells. HEK293 genetically modified using site-specific recombination originated from HEK293 HEK293 cell line stably expressing N-terminal tagged eGFP-ZNF645 under the control of a CMV promoter. = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ZNF645 - Genome assembly: GRCh38,hg19 - Biosample term name: HEK293 - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: unknown - Classification: cell line - Investigated as: transcription factor $"
12981,,, thyroid gland male adult (37 years) = ,Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: thyroid gland - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
12540,,GSE88128,The libraries contained in this Experiment come from tissue sub-sections of a 37 year old male's muscle layer of esophagus tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA < 200 nucleotides in size. esophagus muscularis mucosa male adult (37 years) Esophagus muscle layer tissue sent from GTEx to the Gingeras lab to conduct RNA-Seq assays on. = ,"Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: esophagus muscularis mucosa - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
15222,,GSE142958, upper lobe of left lung male adult (54 years) EnTEX: Lung = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: upper lobe of left lung - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 54 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
7265,GSM1027330,,"sample alias: fMuscle_Back.H-24510d105; sample common name: Fetal Muscle, Back; molecule: genomic DNA; disease: None; biomaterial_provider: University of Washington, Congenital Defects Lab. Ian Glass; biomaterial_type: Primary Tissue; tissue_type: Fetal Muscle, Back; tissue_depot: UW; collection_method: fetal; donor_id: H-24510; donor_age: day 105; donor_health_status: NA; donor_sex: Male; donor_ethnicity: NA; experiment_type: Chromatin Accessibility; extraction_protocol: Qiagen minElut; dnase_protocol: http://www.roadmapepigenomics.org/protocols/type/experimental/ Design description: Chromatin accessibility determination via DNase-seq; Library name: DNase.DS20789; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.14320; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.14319; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   muscle of back female embryo (105 days) Back muscle tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab. = ","Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: muscle of back - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 105 - Age units: day - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
7611,,GSE96016, cardiac muscle cell originated from RUES2 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9me3 - Genome assembly: GRCh38,hg19 - Biosample term name: cardiac muscle cell - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: in vitro differentiated cells - Investigated as: histone,broad histone mark $"
8467,GSM787558,,"rip antibody: none total cellular RNA as input into the accompanying RIP samples; 18_total_K562_10222009_(HuGene-1_0-st-v1).CEL SunyAlbany human K562 Control RIP Array K562 leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC = ",Assay name: RIP-chip - Assay type: RNA binding - Target of assay: T7 - Genome assembly: hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: tag $
2420,,, NCI-H460 = ,Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: NCI-H460 - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: carcinoma; large cell lung cancer - Classification: cell line - Investigated as: None $
1091,,GSE88540,"shRNA knockdown against EIF3D in HepG2 cells followed by RNA-seq. (EIF3D_BGHLV16) HepG2 genetically modified using RNAi RNA-seq on HepG2 cells treated with an shRNA knockdown against EIF3D. (EIF3D_BGHLV16_24),RNA-seq on HepG2 cells treated with an shRNA knockdown against EIF3D. (EIF3D_BGHLV16_23) = ","Assay name: shRNA knockdown followed by RNA-seq - Assay type: Transcription - Target of assay: EIF3D - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: RNA binding protein $"
3288,GSM773017,,"sample alias: 216; sample common name: Brain, Hippocampus Middle; collection_method: Post-Mortem; donor_health_status: no AD evident at demise; molecule: genomic DNA; disease: no AD evident at demise; tissue_type: Hippocampus Middle; donor_ethnicity: NA; donor_sex: Male; biomaterial_type: Primary Tissue; tissue_depot: Brain; donor_id: 149; biomaterial_provider: Rush University Medical Center; donor_age: 81.0 Years; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K9me3; chip_protocol_chromatin_amount: 0.5 to 3 million cells; extraction_protocol: cell/nuclei lysis; chip_protocol_antibody_amount: ~1 ug; chip_protocol_bead_amount: 10 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: ab8898; chip_antibody_provider: Abcam; chip_antibody_lot: 877391; experiment_type: Histone H3K9me3; extraction_protocol_type_of_sonicator: Branson  layer of hippocampus male adult (81 year) Hippocampus middle portion of brain obtained post-mortem in a longitudinal study. Sample was taken from a healthy 81 year old male donor from Rush University Medical Center. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9me3 - Genome assembly: GRCh38,hg19 - Biosample term name: layer of hippocampus - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 81 - Age units: year - Sex: male - Ethnicity: None - Health status: healthy - Classification: tissue - Investigated as: histone,broad histone mark $"
8026,GSM669610,,"sample alias: Neurospheres, Cortex Derived HuFNSC01; sample common name: Neurosphere Cultured Cells, Cortex Derived; disease: None; biomaterial_provider: Keith Ligon, Harvard; biomaterial_type: Primary Cell Culture; cell_type: Neurospheres, Cortex Derived; markers: NA; culture_conditions: Neurocult+EGF+FGF; donor_id: HuFNSC01; donor_age: 17GW; donor_health_status: Disease Free; donor_sex: Female; donor_ethnicity: NA; passage_if_expanded: 2; karyotype: ; parity: NA; note: Twin of HuFNSC02; experiment_type: DNA Methylation; extraction_protocol: Costello Lab MeDIP Protocol; extraction_protocol_type_of_sonicator: Diagenode Bioruptor; extraction_protocol_sonication_cycles: 25min; medip_protocol: Costello Lab MeDIP Protocol; medip_protocol_dna_amount: 2ug; medip_protocol_bead_type: Protein A/G; medip_protocol_bead_amount: 100ul; medip_protocol_antibody_amount: 1ug; medip_antibody: Methylcytidine; medip_antibody_provider: Eurogentec; medip_antibody_catalog: BI-MECY-0100; medip_antibody_lot: 80808  neurosphere female embryo (17 weeks) originated from cortex Cortex derived neurospheres from a 17 week healthy female fetal donor. Sample was cultured in Neurocult+EGF+FGF medium and provided by Keith Ligon at Harvard University. Fetus is named HuFNSC01, twin of HuFNSC02. = ",Assay name: MeDIP-seq - Assay type: DNA methylation - Target of assay: Methylcytidine - Genome assembly: None - Biosample term name: neurosphere - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 17 - Age units: week - Sex: female - Ethnicity: None - Health status: healthy - Classification: primary cell - Investigated as: other context $
9413,,GSE91892,eCLIP experiment on HepG2 against SUPV3L1 HepG2 = ,"Assay name: eCLIP - Assay type: RNA binding - Target of assay: SUPV3L1 - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: RNA binding protein,chromatin remodeler $"
14044,GSM1014213,,lab: HudsonAlpha; lab description: Myers - Hudson Alpha Institute for Biotechnology; datatype: MethylSeq; datatype description: DNA Methyl Seq; cell: H9ES; cell organism: human; cell description: embryonic stem cell (hESC) H9; cell lineage: inner cell mass; cell sex: F; replicate: 1 MethylSeq of human H9ES H9 embryonic stem cell (hESC) H9 = ,Assay name: MRE-seq - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: H9 - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: 5 - Age units: day - Sex: female - Ethnicity: None - Health status: healthy - Classification: cell line - Investigated as: None $
475,,GSE95998,"Reverse Crosslink Control ChIP-seq on human HepG2 (fragmentation date 01-30-13) HepG2 HepG2, hepatocellular carcinoma = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: None $"
1260,GSM995442,,"lab: PSU-m; lab description: Hardison - Penn State University; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: G1E-ER4; cell organism: mouse; cell description: Gata1 restored erythroid cells, differentiation induced by estradiol (E2); cell sex: M; antibody: GATA1_(SC-265); antibody antibodydescription: rat monoclonal antibody raised against mouse recombinant GATA1; recommended for detection of GATA1 of mouse, rat and human origin. Antibody Target: GATA1; antibody targetdescription: GATA1 is erythroid-specific and is responsible for the regulated transcription of erythroid genes.; antibody vendorname: Santa Cruz Biotech; antibody vendorid: sc-265; treatment: diffProtD_7hr; treatment description: 7 hours differentiation of G1E-ER4 cells with 10 nM beta-estradiol (Hardison); labexpid: Timecourse; age: E0; age description: Embryonic day 0 (stem cell); control: Input; control description: Control signal which may be subtracted from experimental raw signal before peaks are called.; controlid: wgEncodeEM003207; labexpid: Timecourse; replicate: 1; strain: 129; strain description: Strain 129, has widely available embryonic stem cells GATA1 ChIP-seq on mouse G1E-ER4 differentiated for 7 hours 129 G1E-ER4 treated with 10 nM 17β-estradiol for 7 hours Gata1 restored erythroid cells, differentiation induced by estradiol (E2) = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: GATA1 - Genome assembly: mm9,mm10 - Biosample term name: G1E-ER4 - Project: ENCODE - Organism: Mus musculus - Life stage: postnatal - Age: 0 - Age units: day - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: transcription factor $"
7532,,,"This is the ChIP-seq control of transgenic worms expressing LIM-6-eGFP fusion proteins. strain OP388 (unc-119(ed3) III; wgIs388) whole organism hermaphrodite late embryo 5 hours post synchronization using egg bleaching genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to LIM-6 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: late embryonic - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
16652,,, transverse colon female adult (51 year) EnTEX: Colon - Transverse = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27me3 - Genome assembly: GRCh38,hg19 - Biosample term name: transverse colon - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
15287,,,"This is the ChIP-seq control of transgenic worms expressing DIE-1-eGFP fusion proteins. strain RW10316 whole organism hermaphrodite young adult 64 hours post synchronization at L1 larva starved after bleaching stage genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to DIE-1 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: young adult - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
